,0
732,everGirl
733,The King of Fighters 02/03
734,Centipede / Breakout / Warlords
735,Karaoke Revolution Party
736,Gunstar Super Heroes
737,187: Ride or Die
738,Zatch Bell! Mamodo Battles
739,World Poker Tour
740,NanoBreaker
741,Frogger: Helmet Chaos
742,Rayman: Hoodlum's Revenge
743,Tokobot
744,Land of the Dead: Road to Fiddler's Green
745,Osu! Tatakae! Ouendan
746,Strike Force Bowling
747,Atelier Iris 2: The Azoth Of Destiny
748,Tecmo Classic Arcade
749,2 Games in 1: Sonic Pinball Party & Columns Crown
750,Star Wars Knights of the Old Republic II: The Sith Lords
751,Shonen Jump's One Piece: Grand Battle
752,Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf
753,Cold Fear
754,Call of Cthulhu: Dark Corners of the Earth
755,Mega Man Battle Network 5: Double Team DS (US sales)
756,Call of Duty 2
757,Serious Sam II
758,Tokyo Xtreme Racer Advance
759,Ford Racing 3
760,World Soccer Winning Eleven 9 (US sales)
761,Hi Hi Puffy AmiYumi: Kaznapped
762,Trapt
763,Splat Renegade Paintball
764,PoPoLoCrois
765,Teenage Mutant Ninja Turtles 3: Mutant Nightmare
766,Dig Dug: Digging Strike
767,NTRA Breeders' Cup World Thoroughbred Championships
768,Constantine
769,Nanostray
770,FIFA Street
771,Viewtiful Joe: Red Hot Rumble
772,The Sims 2: University
773,Generation of Chaos
774,Pump It Up: Exceed
775,Scrabble Blast!
776,Dance Dance Revolution: Mario Mix (JP sales)
777,FIFA Soccer 06
778,Friends: The One with All the Trivia
779,MotoGP 4 - Official Game of MotoGP
780,Rebelstar: Tactical Command
781,Dynasty Warriors 5
782,Myst IV: Revelation
783,Legend of Kay
784,Pinball Hall of Fame: The Gottlieb Collection
785,Sigma Star Saga
786,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure
787,Medal of Honor: European Assault (weekly JP sales)
788,Star Wars: Republic Commando
789,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.
790,Ty the Tasmanian Tiger 3: Night of the Quinkan
791,World Series of Poker
792,Ms Saga: A New Dawn
793,Crime Life: Gang Wars
794,Rugby 2005
795,Taito Legends
796,American Chopper 2: Full Throttle
797,American Chopper 2: Full Throttle
798,Frogger: Ancient Shadow
799,Raze's Hell
800,Tom Clancy's Rainbow Six: Lockdown
801,The Berenstain Bears and the Spooky Old Tree
802,The Bible Game
803,Bubble Bobble Revolution
804,Summon Night Craft Sword Monogatari: Hajimari no Ishi
805,Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS
806,Millipede / Super Breakout / Lunar Lander
807,Operation Flashpoint: Elite
808,Trollz: Hair Affair!
809,D.C.F.S.: Da Capo Four Seasons
810,Chicken Shoot
811,Red Ninja: End of Honor
812,Guild Wars Trilogy
813,Outlaw Tennis
814,Jissen Pachislot Hisshouhou! Hokuto no Ken DS
815,Metal Slug 4 & 5
816,WTF: Work Time Fun
817,Yourself Fitness
818,Capcom Fighting Evolution
819,Aeon Flux
820,Shattered Union
821,Worms 4: Mayhem
822,Imperial Glory
823,Super Black Bass Fishing
824,Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!
825,Zatch Bell! Mamodo Fury
826,Stolen
827,The Movies
828,Super Army War
829,Texas Hold 'Em Poker DS
830,Big Mutha Truckers
831,Steambot Chronicles
832,Gumby vs. the Astrobots
833,Without Warning
834,Teenage Mutant Ninja Turtles 3: Mutant Nightmare
835,Beatdown: Fists of Vengeance
836,Flow: Urban Dance Uprising
837,Tao Adventure: Curse Demon
838,MX World Tour Featuring Jamie Little
839,Care Bears - Care Quest
840,Sky Dancers
841,Cabela's Dangerous Hunts 2
842,Hello Kitty: Roller Rescue
843,Special Forces: Nemesis Strike
844,WRC: FIA World Rally Championship
845,Cabela's Outdoor Adventures
846,Backyard NFL Football 2006
847,James Pond: Codename Robocod
848,Electroplankton
849,Street Supremacy
850,Driv3r
